strain_id	organism	missing_gene_count	incomplete_bp_clusters_count	incomplete_mf_clusters_count	incomplete_bp_clusters	incomplete_mf_clusters
UP000034034	Streptomyces xiamenensis	52	15	41	tricarboxylic acid cycle; 'de novo' pyrimidine nucleobase biosynthetic process; cell wall organization; cell redox homeostasis; translation; rRNA 5'-end processing; cobalamin biosynthetic process; regulation of cell shape; methylation; butyrate catabolic process; phosphorelay signal transduction system; regulation of DNA-templated transcription; urate catabolic process; response to antibiotic; fatty acid biosynthetic process	iron ion binding; phosphatase activity; 4 iron, 4 sulfur cluster binding; transcription cis-regulatory region binding; 3-hydroxyacyl-CoA dehydrogenase activity; hydrolase activity; DNA-binding transcription factor activity; NAD+ binding; ATP binding; ligase activity; lyase activity; metal ion binding; hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides; sodium:proton antiporter activity; P-type divalent copper transporter activity; FAD binding; proton-transporting ATP synthase activity, rotational mechanism; phosphorelay sensor kinase activity; acid-amino acid ligase activity; catalytic activity; methyltransferase activity; transferase activity; cobaltochelatase activity; phenylacetate-CoA ligase activity; ATP hydrolysis activity; magnesium ion binding; structural constituent of ribosome; heme binding; DNA binding; undecaprenyl-diphosphatase activity; hydrolase activity, acting on ester bonds; nucleic acid binding; precorrin-6A synthase (deacetylating) activity; 3'-5' exonuclease activity; 2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase activity; nuclease activity; corrinoid adenosyltransferase activity; methylmalonyl-CoA mutase activity; cobalt ion binding; magnesium ion transmembrane transporter activity; oxidoreductase activity
UP000509706	Streptomyces harbinensis	51	14	40	tricarboxylic acid cycle; 'de novo' pyrimidine nucleobase biosynthetic process; cell wall organization; cell redox homeostasis; cobalamin biosynthetic process; regulation of cell shape; methylation; butyrate catabolic process; phosphorelay signal transduction system; regulation of DNA-templated transcription; urate catabolic process; rescue of stalled ribosome; response to antibiotic; fatty acid biosynthetic process	iron ion binding; phosphatase activity; 4 iron, 4 sulfur cluster binding; transcription cis-regulatory region binding; 3-hydroxyacyl-CoA dehydrogenase activity; GTP binding; hydrolase activity; DNA-binding transcription factor activity; NAD+ binding; ATP binding; ligase activity; lyase activity; metal ion binding; hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides; sodium:proton antiporter activity; P-type divalent copper transporter activity; FAD binding; proton-transporting ATP synthase activity, rotational mechanism; phosphorelay sensor kinase activity; catalytic activity; methyltransferase activity; transferase activity; cobaltochelatase activity; phenylacetate-CoA ligase activity; ATP hydrolysis activity; translation elongation factor activity; magnesium ion binding; heme binding; DNA binding; undecaprenyl-diphosphatase activity; nucleic acid binding; precorrin-6A synthase (deacetylating) activity; 3'-5' exonuclease activity; 2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase activity; arginine deiminase activity; corrinoid adenosyltransferase activity; methylmalonyl-CoA mutase activity; cobalt ion binding; magnesium ion transmembrane transporter activity; oxidoreductase activity
UP000194218	Streptomyces marincola	51	20	38	'de novo' pyrimidine nucleobase biosynthetic process; phosphate ion transmembrane transport; cell wall organization; rescue of stalled ribosome; tricarboxylic acid cycle; glycine biosynthetic process, by transamination of glyoxylate; proteolysis; cell redox homeostasis; thiamine transport; regulation of DNA-templated transcription; phenylacetate catabolic process; fatty acid biosynthetic process; folic acid biosynthetic process; DNA replication; phosphoenolpyruvate-dependent sugar phosphotransferase system; urate catabolic process; translation; DNA repair; methylation; intracellular manganese ion homeostasis	phosphatase activity; 4 iron, 4 sulfur cluster binding; transcription cis-regulatory region binding; tryptophan 2,3-dioxygenase activity; large ribosomal subunit rRNA binding; 3-hydroxyacyl-CoA dehydrogenase activity; GTP binding; hydrolase activity; DNA-binding transcription factor activity; NAD+ binding; pyridoxal phosphate binding; lyase activity; metal ion binding; metallopeptidase activity; sodium:proton antiporter activity; P-type divalent copper transporter activity; proton-transporting ATP synthase activity, rotational mechanism; fumarate hydratase activity; phosphorelay sensor kinase activity; catalytic activity; protein homodimerization activity; methyltransferase activity; transferase activity; RNA ligase (GTP) activity; phenylacetate-CoA ligase activity; ATP hydrolysis activity; translation elongation factor activity; structural constituent of ribosome; acyltransferase activity, transferring groups other than amino-acyl groups; heme binding; thiamine binding; phosphoribosylglycinamide formyltransferase activity; L-lysine 6-monooxygenase (NADPH) activity; 2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase activity; phosphate transmembrane transporter activity; arginine deiminase activity; magnesium ion transmembrane transporter activity; ATP binding
UP000500986	Streptomyces sp. Tu 2975	39	25	45	'de novo' pyrimidine nucleobase biosynthetic process; lipid metabolic process; regulation of translational fidelity; glutamyl-tRNA aminoacylation; tRNA processing; tricarboxylic acid cycle; glycerol metabolic process; L-serine catabolic process; regulation of DNA-templated transcription; protein targeting; fructose 1,6-bisphosphate metabolic process; glutaminyl-tRNAGln biosynthesis via transamidation; iron-sulfur cluster assembly; cell division; transcription-coupled nucleotide-excision repair, DNA damage recognition; protein unfolding; cobalamin biosynthetic process; translation; DNA repair; 'de novo' IMP biosynthetic process; carbohydrate metabolic process; 'de novo' cotranslational protein folding; methylation; intracellular manganese ion homeostasis; gluconeogenesis	helicase activity; 4 iron, 4 sulfur cluster binding; acetoacetate-CoA ligase activity; NAD binding; GTP binding; hydrolase activity; tRNA binding; ligase activity; pyridoxal phosphate binding; metal ion binding; oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor; ATP-dependent FeS chaperone activity; phosphopentomutase activity; P-type divalent copper transporter activity; glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity; fumarate hydratase activity; damaged DNA binding; catalytic activity; protein homodimerization activity; methyltransferase activity; transferase activity; cobaltochelatase activity; tryptophan synthase activity; ATP hydrolysis activity; magnesium ion binding; structural constituent of ribosome; ligase activity, forming carbon-nitrogen bonds; acyltransferase activity, transferring groups other than amino-acyl groups; 3'-5' DNA helicase activity; glutamate-tRNA ligase activity; nucleotidyltransferase activity; fructose 1,6-bisphosphate 1-phosphatase activity; ribosome binding; protein folding chaperone; nucleic acid binding; ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor; four-way junction DNA binding; peptidyl-prolyl cis-trans isomerase activity; metalloaminopeptidase activity; arginine deiminase activity; zinc ion binding; phosphoglycerate dehydrogenase activity; glycine binding; rRNA binding; ATP binding
UP000515544	Streptomyces sp. SCUT-3	36	19	32	'de novo' pyrimidine nucleobase biosynthetic process; phosphorelay signal transduction system; response to antibiotic; modification-dependent protein catabolic process; oxaloacetate metabolic process; proteolysis; DNA-templated DNA replication; cell redox homeostasis; secondary metabolite biosynthetic process; regulation of DNA-templated transcription; lysyl-tRNA aminoacylation; cobalamin biosynthetic process; urate catabolic process; lysine biosynthetic process via diaminopimelate; protein folding; DNA repair; 'de novo' IMP biosynthetic process; methylation; allantoin catabolic process	4 iron, 4 sulfur cluster binding; transcription cis-regulatory region binding; DNA-directed DNA polymerase activity; lysine-tRNA ligase activity; hydrolase activity; DNA-binding transcription factor activity; tRNA binding; methylated-DNA-[protein]-cysteine S-methyltransferase activity; ligase activity; orotidine-5'-phosphate decarboxylase activity; metal ion binding; hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides; sodium:proton antiporter activity; ATP-dependent peptidase activity; phosphorelay sensor kinase activity; serine-type endopeptidase activity; catalytic activity; threonine-type endopeptidase activity; transferase activity; cobaltochelatase activity; ATP hydrolysis activity; magnesium ion binding; urate oxidase activity; DNA binding; transmembrane transporter activity; nucleic acid binding; 3'-5' exonuclease activity; peptidase activity; peptidyl-prolyl cis-trans isomerase activity; arginine deiminase activity; zinc ion binding; ATP binding
UP000278047	Streptomyces sp. WAC 06738	28	16	29	tricarboxylic acid cycle; signal peptide processing; glycogen catabolic process; 'de novo' IMP biosynthetic process; D-gluconate metabolic process; negative regulation of DNA-templated transcription; lipoprotein biosynthetic process; heme B biosynthetic process; methylation; rescue of stalled ribosome; regulation of DNA-templated transcription; RNA processing; DNA-templated transcription termination; RNA repair; modification-dependent protein catabolic process; fatty acid biosynthetic process	iron ion binding; 4 iron, 4 sulfur cluster binding; transcription cis-regulatory region binding; GTP binding; cation binding; phosphogluconate dehydrogenase (decarboxylating) activity; metal ion binding; hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides; stearoyl-[ACP] desaturase activity; RNA binding; electron transfer activity; chlorite O2-lyase activity; phosphorelay sensor kinase activity; serine-type endopeptidase activity; methyltransferase activity; oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor; amylo-alpha-1,6-glucosidase activity; RNA ligase (GTP) activity; ATP hydrolysis activity; translation elongation factor activity; hydrolase activity, hydrolyzing O-glycosyl compounds; heme binding; NADP binding; ribosome binding; DNA binding; 1,4-alpha-glucan branching enzyme activity; oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor; N-acyltransferase activity; ATP binding
UP000195880	Streptomyces alboflavus	23	15	31	lysine biosynthetic process via diaminopimelate; UDP-N-acetylglucosamine biosynthetic process; tricarboxylic acid cycle; proteolysis; protein-DNA covalent cross-linking repair; translation; DNA repair; 'de novo' IMP biosynthetic process; carbohydrate metabolic process; cobalamin biosynthetic process; L-serine catabolic process; SOS response; rescue of stalled ribosome; protoporphyrinogen IX biosynthetic process from glutamate; fatty acid biosynthetic process	4 iron, 4 sulfur cluster binding; 1-deoxy-D-xylulose-5-phosphate reductoisomerase activity; excinuclease ABC activity; GTP binding; single-stranded DNA binding; N-acetylglucosamine-6-phosphate deacetylase activity; glycosyltransferase activity; isomerase activity; lyase activity; phosphotransferase activity, for other substituted phosphate groups; metal ion binding; hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides; stearoyl-[ACP] desaturase activity; phosphopentomutase activity; NADPH binding; FAD binding; manganese ion binding; catalytic activity; transferase activity; uroporphyrinogen decarboxylase activity; ATP hydrolysis activity; translation elongation factor activity; magnesium ion binding; structural constituent of ribosome; 5S rRNA binding; DNA binding; phosphoribosylglycinamide formyltransferase activity; glutamate 5-kinase activity; peptidase activity; metalloaminopeptidase activity; ATP binding
UP000464107	Streptomyces sp. NHF165	19	11	25	proteolysis; DNA-templated DNA replication; cell redox homeostasis; DNA repair; regulation of nitrogen utilization; phosphate ion transmembrane transport; 'de novo' IMP biosynthetic process; SOS response; L-serine catabolic process; methylation; fatty acid biosynthetic process	iron ion binding; 4 iron, 4 sulfur cluster binding; DNA-directed DNA polymerase activity; L-phosphoserine phosphatase activity; excinuclease ABC activity; DNA-binding transcription factor activity; metal ion binding; anti-sigma factor antagonist activity; metallopeptidase activity; stearoyl-[ACP] desaturase activity; electron transfer activity; phosphorelay sensor kinase activity; methyltransferase activity; 3'-nucleotidase activity; bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) activity; ATP hydrolysis activity; magnesium ion binding; DNA binding; nucleic acid binding; 2',3'-cyclic-nucleotide 2'-phosphodiesterase activity; 3'-5' exonuclease activity; protein-disulfide reductase (NAD(P)H) activity; phosphate transmembrane transporter activity; zinc ion binding; ATP binding
UP000233829	Streptomyces sp. CMB-StM0423	19	10	18	glycogen catabolic process; 'de novo' IMP biosynthetic process; DNA topological change; negative regulation of DNA-templated transcription; lipoprotein biosynthetic process; methylation; RNA processing; DNA-templated transcription termination; RNA repair; fatty acid biosynthetic process	metal ion binding; iron ion binding; 4 iron, 4 sulfur cluster binding; 1,4-alpha-glucan branching enzyme activity; hydrolase activity, hydrolyzing O-glycosyl compounds; stearoyl-[ACP] desaturase activity; RNA binding; DNA negative supercoiling activity; amylo-alpha-1,6-glucosidase activity; RNA ligase (GTP) activity; GTP binding; electron transfer activity; N-acyltransferase activity; cation binding; DNA binding; ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor; methyltransferase activity; ATP binding
UP000595046	Streptomyces bathyalis	17	9	12	proteolysis; DNA-templated DNA replication; cell redox homeostasis; DNA repair; DNA topological change; carbohydrate metabolic process; phosphorelay signal transduction system; regulation of DNA-templated transcription; fatty acid biosynthetic process	metal ion binding; oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor; metallopeptidase activity; hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides; sodium:proton antiporter activity; DNA negative supercoiling activity; stearoyl-[ACP] desaturase activity; FMN binding; hydrolase activity; phosphorelay sensor kinase activity; DNA binding; ATP binding
UP000034283	Streptomyces sp. CNQ-509	17	9	17	cell redox homeostasis; glycogen catabolic process; negative regulation of DNA-templated transcription; methylation; phosphoenolpyruvate-dependent sugar phosphotransferase system; RNA processing; DNA-templated transcription termination; RNA repair; fatty acid biosynthetic process	metal ion binding; iron ion binding; 4 iron, 4 sulfur cluster binding; hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides; 1,4-alpha-glucan branching enzyme activity; hydrolase activity, hydrolyzing O-glycosyl compounds; sodium:proton antiporter activity; RNA binding; RNA ligase (GTP) activity; stearoyl-[ACP] desaturase activity; protein-L-isoaspartate (D-aspartate) O-methyltransferase activity; GTP binding; electron transfer activity; phosphorelay sensor kinase activity; cation binding; methyltransferase activity; amylo-alpha-1,6-glucosidase activity
UP000192651	Streptomyces sp. MOE7	17	8	18	tRNA wobble position uridine thiolation; tricarboxylic acid cycle; 'de novo' pyrimidine nucleobase biosynthetic process; DNA repair; 'de novo' IMP biosynthetic process; malate metabolic process; isoleucine biosynthetic process; cell wall organization	metal ion binding; L-malate dehydrogenase (NAD+) activity; 4 iron, 4 sulfur cluster binding; magnesium ion binding; ligase activity, forming carbon-nitrogen bonds; acyltransferase activity, transferring groups other than amino-acyl groups; 3'-5' DNA helicase activity; four-way junction DNA binding; hydrolase activity; dihydroxy-acid dehydratase activity; tRNA binding; sulfurtransferase activity; quinone binding; hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines; ligase activity; NADH dehydrogenase activity; orotidine-5'-phosphate decarboxylase activity; ATP binding
UP000463934	Streptomyces sp. HF10	16	17	26	proteolysis; DNA-templated DNA replication; peptidoglycan turnover; DNA repair; ribosome biogenesis; tryptophan biosynthetic process; 'de novo' IMP biosynthetic process; folic acid biosynthetic process; DNA topological change; DNA replication; carbohydrate metabolic process; SOS response; glycerol metabolic process; methylation; amino acid biosynthetic process; gluconeogenesis; fatty acid biosynthetic process	4 iron, 4 sulfur cluster binding; excinuclease ABC activity; GTP binding; hydrolase activity; ligase activity; metal ion binding; RNA binding; proton-transporting ATP synthase activity, rotational mechanism; manganese ion binding; L-serine ammonia-lyase activity; methyltransferase activity; ATP hydrolysis activity; magnesium ion binding; hydrolase activity, hydrolyzing O-glycosyl compounds; 3'-5' DNA helicase activity; DNA binding; nucleic acid binding; 3-deoxy-7-phosphoheptulonate synthase activity; DNA negative supercoiling activity; 3'-5' exonuclease activity; four-way junction DNA binding; metalloaminopeptidase activity; zinc ion binding; inositol-3-phosphate synthase activity; helicase activity; ATP binding
UP000268329	Streptomyces dangxiongensis	16	13	25	lysine biosynthetic process via diaminopimelate; oxaloacetate metabolic process; proteolysis; 'de novo' IMP biosynthetic process; seryl-tRNA aminoacylation; cobalamin biosynthetic process; L-serine catabolic process; isoleucine biosynthetic process; glucose 6-phosphate metabolic process; selenocysteine biosynthetic process; gluconeogenesis; modification-dependent protein catabolic process; fatty acid biosynthetic process	iron ion binding; 4 iron, 4 sulfur cluster binding; sulfate adenylyltransferase (ATP) activity; monosaccharide binding; glycosyltransferase activity; pyridoxal phosphate binding; lyase activity; metal ion binding; riboflavin kinase activity; serine-tRNA ligase activity; phospho-N-acetylmuramoyl-pentapeptide-transferase activity; ATP-dependent peptidase activity; phosphorelay sensor kinase activity; electron transfer activity; L-serine ammonia-lyase activity; serine-type endopeptidase activity; ATP hydrolysis activity; magnesium ion binding; heme binding; DNA binding; sulfite reductase (ferredoxin) activity; carbohydrate derivative binding; intramolecular oxidoreductase activity, interconverting aldoses and ketoses; zinc ion binding; ATP binding
UP000267900	Streptomyces luteoverticillatus (Streptoverticillium luteoverticillatus)	15	16	22	electron transport coupled proton transport; tricarboxylic acid cycle; L-phenylalanine biosynthetic process; 'de novo' pyrimidine nucleobase biosynthetic process; steroid metabolic process; tryptophan biosynthetic process; 'de novo' IMP biosynthetic process; folic acid biosynthetic process; shikimate metabolic process; cobalamin biosynthetic process; regulation of cell shape; methylation; cell wall organization; response to antibiotic; ectoine transmembrane transport; rRNA 5'-end processing	iron ion binding; dihydroorotate dehydrogenase (quinone) activity; phosphatase activity; 4 iron, 4 sulfur cluster binding; NAD+ binding; nicotinate-nucleotide diphosphorylase (carboxylating) activity; metal ion binding; anti-sigma factor antagonist activity; shikimate 3-dehydrogenase (NADP+) activity; methyltransferase activity; NADH dehydrogenase activity; ectoine binding; NADP binding; undecaprenyl-diphosphatase activity; hydrolase activity, acting on ester bonds; steroid dehydrogenase activity, acting on the CH-CH group of donors; glutaminase activity; oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor; carbon-nitrogen ligase activity on lipid II; nuclease activity; metalloaminopeptidase activity; quinone binding
UP000198609	Streptomyces melanosporofaciens	15	12	20	antibiotic biosynthetic process; cell wall organization; translation; DNA repair; DNA replication; regulation of cell shape; methylation; phosphorelay signal transduction system; regulation of DNA-templated transcription; RNA processing; RNA repair; fatty acid biosynthetic process	iron ion binding; GTP binding; hydrolase activity; tRNA binding; phosphotransferase activity, for other substituted phosphate groups; metal ion binding; hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides; RNA binding; flavin adenine dinucleotide binding; methyltransferase activity; oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor; RNA ligase (GTP) activity; structural constituent of ribosome; heme binding; DNA binding; oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor; 3'-5' exonuclease activity; D-alanine-D-alanine ligase activity; magnesium ion transmembrane transporter activity; ATP binding
UP000095349	Streptomyces rubrolavendulae	11	9	16	tricarboxylic acid cycle; oxaloacetate metabolic process; proteolysis; 'de novo' pyrimidine nucleobase biosynthetic process; glyoxylate cycle; pantothenate catabolic process; methylation; urate catabolic process; allantoin catabolic process	phosphoribosylglycinamide formyltransferase activity; transcription cis-regulatory region binding; magnesium ion binding; metallopeptidase activity; malate synthase activity; urate oxidase activity; 2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase activity; DNA-binding transcription factor activity; acid-amino acid ligase activity; metalloaminopeptidase activity; arginine deiminase activity; catalytic activity; zinc ion binding; methyltransferase activity; coenzyme F420 binding; oxidoreductase activity, acting on the CH-CH group of donors
UP000320580	Streptomyces qinzhouensis	11	4	8	tRNA processing; tryptophan biosynthetic process; methylation; fatty acid biosynthetic process	metal ion binding; tRNA (adenine(58)-N1)-methyltransferase activity; cysteine-type peptidase activity; 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase activity; glycosyltransferase activity; methyltransferase activity; urocanate hydratase activity; oxidoreductase activity
UP000501179	Streptomyces liangshanensis	9	3	8	DNA repair; methylation; SOS response	ATP hydrolysis activity; excinuclease ABC activity; hydrolase activity; DNA binding; zinc ion binding; methyltransferase activity; transferase activity; ATP binding
UP000509303	Streptomyces buecherae	9	5	8	signal transduction; proteolysis; glycogen catabolic process; thiamine transport; modification-dependent protein catabolic process	metallopeptidase activity; hydrolase activity, hydrolyzing O-glycosyl compounds; serine-type endopeptidase activity; cation binding; 1,4-alpha-glucan branching enzyme activity; thiamine binding; pyridoxal phosphate binding; threonine-type endopeptidase activity
UP000005940	Streptomyces tsukubensis (strain DSM 42081 / NBRC 108919 / NRRL 18488 / 9993)	8	1	3	methylation	glycosyltransferase activity; cysteine-type peptidase activity; methyltransferase activity
UP000509509	Streptomyces sp. NA04227	8	6	9	thiamine transport; negative regulation of DNA-templated transcription; response to heat; glycerol metabolic process; protein refolding; fatty acid biosynthetic process	ATP hydrolysis activity; magnesium ion binding; phospho-N-acetylmuramoyl-pentapeptide-transferase activity; DNA-binding transcription factor activity; DNA binding; thiamine binding; pyridoxal phosphate binding; transferase activity; ATP binding
UP000429360	Streptomyces sp. QHH-9511	8	4	10	tRNA processing; cobalamin biosynthetic process; regulation of cell shape; regulation of DNA-templated transcription	metal ion binding; tryptophan 2,3-dioxygenase activity; magnesium ion binding; RNA binding; LPPG:FO 2-phospho-L-lactate transferase activity; heme binding; methyltransferase activity; oxidoreductase activity, acting on the aldehyde or oxo group of donors, iron-sulfur protein as acceptor; pyridoxal phosphate binding; cobaltochelatase activity
UP000031113	Streptomyces sp. 769	8	5	7	tryptophan biosynthetic process; phosphorelay signal transduction system; regulation of DNA-templated transcription; glycolipid biosynthetic process; fatty acid biosynthetic process	phosphoribosyl-ATP diphosphatase activity; hydrolase activity; DNA binding; ligase activity; phosphatidylinositol alpha-mannosyltransferase activity; glycolipid 1,6-alpha-mannosyltransferase activity; ATP binding
UP000195755	Streptomyces albireticuli	8	11	8	proteolysis; peptidoglycan turnover; DNA repair; positive regulation of DNA-templated transcription; steroid metabolic process; 'de novo' IMP biosynthetic process; DNA replication; negative regulation of DNA-templated transcription; carbohydrate metabolic process; ectoine transmembrane transport; SOS response	ectoine binding; hydrolase activity, hydrolyzing O-glycosyl compounds; bacterial-type RNA polymerase core enzyme binding; serine-type endopeptidase activity; DNA binding; zinc ion binding; nicotinate-nucleotide diphosphorylase (carboxylating) activity; steroid dehydrogenase activity, acting on the CH-CH group of donors
UP000253868	Streptomyces paludis	7	4	10	protein refolding; response to heat; methylation; fatty acid biosynthetic process	ATP hydrolysis activity; hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides; NADPH binding; 1-deoxy-D-xylulose-5-phosphate reductoisomerase activity; cysteine-type peptidase activity; manganese ion binding; methyltransferase activity; isomerase activity; transferase activity; ATP binding
UP000464558	Streptomyces sp. GS7	7	4	3	cell wall organization; regulation of cell shape; proteolysis; response to antibiotic	metal ion binding; metallopeptidase activity; undecaprenyl-diphosphatase activity
UP000310490	Streptomyces sp. So13.3	5	2	3	tRNA processing; amino acid transport	transmembrane transporter activity; 3'-5' exonuclease activity; tRNA (adenine(58)-N1)-methyltransferase activity
UP000244900	Streptomyces tirandamycinicus	5	4	9	tRNA wobble position uridine thiolation; regulation of DNA-templated transcription; molybdate ion transport; phosphorelay signal transduction system	metal ion binding; identical protein binding; antimonite transmembrane transporter activity; arsenite transmembrane transporter activity; phosphate transmembrane transporter activity; DNA binding; tRNA-specific adenosine-34 deaminase activity; zinc ion binding; molybdate ion binding
UP000032234	Streptomyces cyaneogriseus subsp. noncyanogenus	5	3	5	lysine biosynthetic process via diaminopimelate; nucleotide metabolic process; isoleucine biosynthetic process	metal ion binding; 4 iron, 4 sulfur cluster binding; anthranilate synthase activity; catalytic activity; nucleoside triphosphate diphosphatase activity
UP000000377	Streptomyces bingchenggensis (strain BCW-1)	3	2	3	positive regulation of DNA-templated transcription; regulation of DNA-templated transcription	bacterial-type RNA polymerase core enzyme binding; uracil phosphoribosyltransferase activity; zinc ion binding
UP000325763	Streptomyces nodosus	3	4	4	urate catabolic process; oxaloacetate metabolic process; 'de novo' pyrimidine nucleobase biosynthetic process; allantoin catabolic process	urate oxidase activity; arginine deiminase activity; catalytic activity; magnesium ion binding
UP000189677	Streptomyces niveus (Streptomyces spheroides)	3	1	1	cytochrome complex assembly	phenylacetate-CoA ligase activity
UP000252004	Streptomyces globosus	2	0	4		oxidoreductase activity, acting on the CH-CH group of donors; coenzyme F420 binding; oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor; FMN binding
UP000259636	Streptomyces koyangensis	2	1	2	proteolysis	metallopeptidase activity; transferase activity
